Country,Region,Points,Price,Grape
US,California,96,235.0,Cabernet Sauvignon
Spain,Northern Spain,96,110.0,Tinta de Toro
US,California,96,90.0,Sauvignon Blanc
US,Oregon,96,65.0,Pinot Noir
France,Provence,95,66.0,Provence red blend
Spain,Northern Spain,95,73.0,Tinta de Toro
Spain,Northern Spain,95,65.0,Tinta de Toro
Spain,Northern Spain,95,110.0,Tinta de Toro
US,Oregon,95,65.0,Pinot Noir
US,California,95,60.0,Pinot Noir
Italy,Northeastern Italy,95,80.0,Friulano
US,Oregon,95,48.0,Pinot Noir
US,Oregon,95,48.0,Pinot Noir
France,Southwest France,95,90.0,Tannat
US,Oregon,95,185.0,Pinot Noir
US,Oregon,95,90.0,Chardonnay
US,California,95,325.0,Cabernet Sauvignon
Spain,Northern Spain,95,80.0,Tempranillo
France,Southwest France,95,290.0,Malbec
US,California,95,75.0,Pinot Noir
US,California,95,24.0,Rosé
Spain,Northern Spain,95,79.0,Tempranillo Blend
Spain,Northern Spain,95,220.0,Tinta de Toro
US,California,95,60.0,Chardonnay
US,California,95,45.0,Pinot Noir
New Zealand,Kumeu,94,57.0,Chardonnay
US,Oregon,94,62.0,Pinot Noir
US,Oregon,94,105.0,Pinot Noir
US,California,94,60.0,Pinot Noir
US,Washington,94,60.0,Syrah
Bulgaria,Bulgaria,90,15.0,Mavrud
US,California,90,37.0,Chardonnay
France,France Other,90,22.0,Sparkling Blend
US,Washington,90,42.0,Chardonnay
Italy,Tuscany,90,135.0,Sangiovese
France,Rhône Valley,90,60.0,Rhône-style White Blend
Italy,Tuscany,90,29.0,Sangiovese
Italy,Tuscany,90,23.0,Sangiovese
Italy,Tuscany,90,29.0,Red Blend
Spain,Galicia,90,17.0,Mencía
Spain,Andalucia,90,26.0,Palomino
US,Idaho,90,55.0,Petite Sirah
Italy,Tuscany,90,39.0,Red Blend
France,Rhône Valley,90,69.0,Syrah
Italy,Tuscany,90,30.0,Red Blend
Italy,Tuscany,90,90.0,Sangiovese
US,California,90,60.0,Cabernet Sauvignon
Italy,Tuscany,90,50.0,Sangiovese
US,Washington,90,40.0,Cabernet Sauvignon
Italy,Tuscany,90,100.0,Sangiovese
France,Burgundy,90,68.0,Chardonnay
France,Loire Valley,90,42.0,Sauvignon Blanc
France,Loire Valley,90,28.0,Pinot Noir
US,California,90,18.0,Chardonnay
US,Washington,90,69.0,Cabernet Sauvignon
US,New York,90,25.0,Riesling
US,Washington,90,30.0,Cabernet Sauvignon-Syrah
Italy,Tuscany,90,60.0,Red Blend
Argentina,Mendoza Province,91,30.0,Malbec
Australia,Victoria,91,36.0,Pinot Noir
Argentina,Mendoza Province,91,25.0,Malbec
France,Burgundy,91,45.0,Chardonnay
Portugal,Alentejano,91,23.0,Portuguese Red
US,California,91,36.0,Syrah
France,Burgundy,91,38.0,Chardonnay
US,California,91,85.0,Cabernet Sauvignon
US,Oregon,91,50.0,Pinot Noir
US,California,91,60.0,Cabernet Sauvignon
US,California,91,85.0,Cabernet Sauvignon
US,California,91,45.0,Pinot Noir
US,Oregon,91,19.0,Pinot Gris
Portugal,Alentejo,91,15.0,Portuguese Red
US,Oregon,91,54.0,Pinot Noir
France,Champagne,91,85.0,Chardonnay
US,California,91,38.0,Sauvignon Blanc
US,California,91,28.0,Cabernet Sauvignon
Italy,Piedmont,91,75.0,Nebbiolo
US,Oregon,91,42.0,Pinot Noir
Israel,Upper Galilee,91,25.0,Cabernet Sauvignon
Italy,Piedmont,91,59.0,Nebbiolo
Italy,Piedmont,91,85.0,Nebbiolo
Italy,Piedmont,91,80.0,Nebbiolo
France,Burgundy,91,45.0,Chardonnay
US,California,91,22.0,Cabernet Sauvignon
US,California,91,65.0,Pinot Noir
US,California,91,50.0,Meritage
US,California,86,10.0,Cabernet Sauvignon
Portugal,Beira Atlantico,86,12.0,Baga
Italy,Veneto,86,22.0,Glera
US,California,86,13.0,Chardonnay
Portugal,Douro,86,10.0,Portuguese Red
France,Southwest France,86,14.0,Malbec-Merlot
US,California,86,18.0,Chardonnay
US,California,86,36.0,Cabernet Sauvignon
France,Southwest France,86,15.0,Merlot-Malbec
France,Southwest France,86,10.0,Ugni Blanc-Colombard
US,California,86,24.0,Viognier
US,California,86,50.0,Cabernet Sauvignon
Italy,Tuscany,86,45.0,Sangiovese
US,California,86,48.0,Cabernet Sauvignon-Cabernet Franc
US,California,86,20.0,Moscato
US,Washington,86,17.0,Pinot Grigio
US,California,86,12.0,Cabernet Franc
US,California,86,10.0,Chardonnay
US,California,86,13.0,White Blend
US,California,86,45.0,Chardonnay
Portugal,Tejo,86,12.0,Portuguese Red
Argentina,Mendoza Province,86,12.0,Rosé
US,California,86,125.0,Cabernet Sauvignon
US,New York,86,25.0,Riesling
South Africa,Stellenbosch,86,20.0,Sauvignon Blanc
Argentina,Mendoza Province,86,15.0,Malbec
France,Southwest France,86,20.0,Rosé
France,Southwest France,86,15.0,Gamay
Portugal,Alentejano,86,7.0,Portuguese Red
US,California,91,59.0,Pinot Noir
US,California,91,49.0,Pinot Noir
US,California,91,42.0,Sparkling Blend
US,California,91,93.0,Chardonnay
US,California,91,32.0,Pinot Noir
US,California,91,20.0,Pinot Noir
US,California,90,100.0,Zinfandel
US,California,90,50.0,Cabernet Sauvignon
Spain,Northern Spain,90,22.0,Tempranillo
Italy,Sicily & Sardinia,90,45.0,White Blend
Italy,Southern Italy,90,18.0,Greco
US,California,90,45.0,Chardonnay
US,California,90,26.0,Barbera
US,California,90,16.0,Chardonnay
US,California,90,30.0,Cabernet Sauvignon
US,California,90,42.0,Grenache
US,California,90,38.0,Zinfandel
US,California,90,48.0,Rhône-style Red Blend
Spain,Northern Spain,90,17.0,Tempranillo
France,Languedoc-Roussillon,90,18.0,Rosé
France,Bordeaux,90,15.0,Rosé
US,California,90,28.0,Sauvignon Blanc
US,California,90,25.0,Grenache
US,Oregon,90,26.0,Chardonnay
US,California,90,24.0,Albariño
US,California,90,55.0,Pinot Noir
US,California,90,36.0,Zinfandel
Spain,Galicia,90,17.0,Albariño
US,California,90,40.0,Syrah
US,California,90,28.0,Malvasia Bianca
US,Oregon,89,50.0,Pinot Noir
Greece,Atalanti Valley,89,24.0,White Blend
Spain,Catalonia,89,17.0,Sparkling Blend
Greece,Santorini,89,21.0,Assyrtiko
Greece,Florina,89,18.0,Malagouzia
Chile,Marchigue,89,20.0,Carmenère
France,Southwest France,89,20.0,Bordeaux-style Red Blend
US,Oregon,89,24.0,Sangiovese
Spain,Northern Spain,89,44.0,Tempranillo
Chile,Colchagua Valley,89,19.0,Red Blend
US,California,89,42.0,Bordeaux-style Red Blend
US,Oregon,89,35.0,Pinot Noir
Spain,Northern Spain,89,44.0,Tempranillo Blend
US,California,89,16.0,Syrah
US,California,89,23.0,Viognier
US,Oregon,89,36.0,Pinot Noir
Italy,Tuscany,89,25.0,Red Blend
Italy,Tuscany,89,22.0,Red Blend
Portugal,Douro,89,20.0,Touriga Nacional
US,California,89,25.0,Chardonnay
US,California,89,42.0,Pinot Noir
Chile,Curicó Valley,89,30.0,Cabernet Sauvignon-Cabernet Franc
Greece,Nemea,89,17.0,Agiorgitiko
US,California,89,49.0,Pinot Noir
France,Rhône Valley,89,16.0,Rhône-style Red Blend
Spain,Northern Spain,89,30.0,Tinta de Toro
Italy,Tuscany,89,40.0,Sangiovese
Italy,Tuscany,89,57.0,Red Blend
US,California,89,29.0,Cabernet Sauvignon
Chile,Maule Valley,89,61.0,Red Blend
US,California,88,25.0,Chardonnay
US,California,88,25.0,Syrah
US,California,88,49.0,Pinot Noir
US,Washington,88,20.0,Picpoul
Argentina,Mendoza Province,88,26.0,Bordeaux-style Red Blend
US,Washington,88,34.0,Bordeaux-style Red Blend
US,California,88,38.0,Zinfandel
US,California,88,38.0,Zinfandel
Spain,Northern Spain,88,25.0,Godello
Spain,Catalonia,87,22.0,Red Blend
Argentina,Mendoza Province,87,15.0,Malbec
France,Bordeaux,87,20.0,Bordeaux-style Red Blend
